City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
255,Srandakan,ID,83.05,-7.9386,110.2506,Puri Brata
256,Avera,US,81.55,33.194,-82.5271,
262,Laguna,US,84.61,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
265,Sabang,ID,81.93,5.8933,95.3214,Hotel Citra
266,Auki,SB,85.84,-8.7676,160.7034,Auki Motel
272,Sur,OM,82.13,22.5667,59.5289,Sur Plaza Hotel
273,Kudat,MY,86.29,6.8837,116.8477,Dream Garden Hotel
276,Nayudupeta,IN,86.88,13.9,79.9,Hotel Manju
278,Hanzhong,CN,85.17,33.0728,107.0303,Guorui Hotel
279,Pemangkat,ID,86.11,1.1667,108.9667,Ramah Kost KITA
281,Shimoda,JP,86.36,34.6667,138.95,Shimoda Tokyu Hotel
285,Zachary,US,76.82,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
286,Mancio Lima,BR,75.27,-7.6142,-72.8958,Motel Asas Do Desejo
290,Manaure,CO,80.24,11.7751,-72.4445,Hotel Palaaima
292,Sungaipenuh,ID,80.64,-2.0833,101.3833,Penginapan Citra Alam
295,Paracuru,BR,75.11,-3.41,-39.0306,Hotel Vento Brasil
296,Cayenne,GF,76.08,4.9333,-52.3333,Hôtel Le Dronmi
297,Aykhal,RU,83.12,66.0,111.5,
298,Sola,VU,81.27,-13.8833,167.55,Leumerus Bungalows
300,Banes,CU,78.57,20.9625,-75.7186,Hostal Iván y yailet
302,Khash,IR,76.48,28.2211,61.2158,خوابگاه آبجی محدثه
304,Kalmunai,LK,83.5,7.4167,81.8167,VS Villa
306,San Patricio,US,85.89,28.017,-97.5169,"Motel 6 Sinton, TX"
307,Manokwari,ID,84.31,-0.8667,134.0833,Swiss Belhotel Manokwari
315,Nishihara,JP,87.08,26.1842,127.7558,Minshuku Agaihama
317,Harper,LR,75.31,4.375,-7.7169,Screensaver
320,Craig,US,76.62,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
321,Cayhagan,PH,84.24,9.6697,122.4256,Melrose Beach Resort
325,Trincomalee,LK,82.74,8.5711,81.2335,Welcombe Hotel
326,Ust-Maya,RU,87.31,60.4167,134.5333,
330,Kharar,IN,87.31,30.7444,76.6478,OYO 19817 Hotel Sartaj
331,Blackfoot,US,81.77,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
332,Rubtsovsk,RU,83.37,51.5,81.25,Запросто
335,Doljo,PH,84.65,9.5875,123.7303,Muro - Ami
336,Surt,LY,78.1,31.2089,16.5887,الهادي ابوشعاله سرت
338,Huilong,CN,86.85,31.8111,121.655,Hilton Garden Inn Qidong
341,Ambon,ID,78.94,-3.6954,128.1814,Swiss-Belhotel Ambon
342,High Level,CA,78.91,58.5169,-117.136,Days Inn by Wyndham High Level
348,Nizamabad,IN,82.89,18.6667,78.1167,Hostel Luxury A/C
350,Mayo,US,81.21,38.8876,-76.5119,Resorts Resource Group International
352,Shymkent,KZ,84.79,42.3,69.6,Orbita Boutique Hotel
354,Anshun,CN,77.18,26.25,105.9333,安顺麦吉风格酒店
355,Kuala Terengganu,MY,85.95,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
356,Jacareacanga,BR,78.3,-6.2222,-57.7528,Casa do Ian😎
360,Olga,RU,78.82,43.7444,135.2892,Gostinitsa Rosmorport.
361,Ugoofaaru,MV,82.13,5.6667,73.0,Ungoofaaru Inn
364,Gayeri,BF,77.13,12.6497,0.4931,
365,Namatanai,PG,84.97,-3.6667,152.4333,Seagulls Inn Namatani
366,Basco,PH,85.68,20.4487,121.9702,Nathaniel's Lodge
369,Obidos,BR,77.25,-1.9175,-55.5181,Hotel Amazônia Center
375,Maningrida,AU,85.57,-12.0667,134.2667,Dhukurrdji Lodge
377,Bhadrachalam,IN,84.87,17.6667,80.8833,Hotel Srinidhi Residency
381,Yumen,CN,89.53,40.2833,97.2,
386,Arlit,NE,85.42,18.7369,7.3853,Case de Passage De la Prefecture
388,Prainha,BR,76.28,-1.8,-53.48,Casa Rocha
389,Kijang,KR,82.13,35.2442,129.2139,Samyang Beach Villa
390,Meulaboh,ID,83.95,4.1363,96.1285,Kost Pria
392,Freeport,US,78.13,40.6576,-73.5832,The Freeport Inn and Marina
394,Chittaurgarh,IN,81.72,24.8833,74.6333,Hotel Radhey Heritage
398,Gorontalo,ID,83.16,0.5412,123.0595,Maqna Hotel by Prasanthi
403,Vilyuysk,RU,87.6,63.7553,121.6247,Gostinitsa Viliuisk
406,Martapura,ID,80.69,-3.4167,114.85,Montana Hotel Syariah
407,At-Bashi,KG,78.4,41.1702,75.8106,Hostel At-Bashy
413,Gilgit,PK,85.64,35.9221,74.3087,Tourist Hamlet Gilgit
415,Virginia Beach,US,81.01,36.8529,-75.978,Hilton Virginia Beach Oceanfront
416,Sikandarabad,IN,88.75,28.45,77.7,Saini Bhavan
417,Abu Kamal,SY,88.77,34.4506,40.9171,البوكمال
420,Hurghada,EG,82.44,27.2574,33.8129,Sea Star Beau Rivage Hotel
423,Tateyama,JP,82.15,34.9833,139.8667,Tateyama Seaside Hotel
428,Gaomi,CN,87.44,36.3833,119.7528,Hanting Express Gaomi Fenghuang Street
433,Forio,IT,80.42,40.7342,13.8646,Hotel Terme Providence
435,Manzhouli,CN,75.33,49.6,117.4333,Angala International Youth Hostel
440,Iwanai,JP,77.52,42.9744,140.5089,いわない高原ホテル
443,Altamira,BR,75.78,-3.2033,-52.2064,Requinte Hotel
444,Qingdao,CN,82.53,36.0986,120.3719,Le Meridien Qingdao
452,Katsuura,JP,83.41,35.1333,140.3,Katsuura Hotel Mikazuki
453,Chengalpattu,IN,87.51,12.7,79.9833,Hotel Kanchi Boarding & Lodging
454,Nalut,LY,78.78,30.3333,10.85,
457,Pavlodar,KZ,80.4,52.3,76.95,Sary Arka
463,Cozumel,MX,80.01,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
465,Umm Lajj,SA,86.02,25.0213,37.2685,Moon light Furnished Units
466,Tura,IN,81.66,25.5198,90.2201,Hotel RIKMAN Continental
467,Ligayan,PH,83.8,4.6533,119.4706,
469,Praia,CV,79.47,14.9215,-23.5087,LT Aparthotel
470,Xapuri,BR,75.96,-10.6517,-68.5044,Pousada dos Chapurys
473,Gondanglegi,ID,85.5,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
474,Evansville,US,79.2,37.9748,-87.5558,Le Merigot Hotel
476,Palu,ID,84.83,-0.8917,119.8707,Hotel Santika Palu
477,Makakilo City,US,82.56,21.3469,-158.0858,Marriott's Ko Olina Beach Club
479,Tortoli,IT,75.51,39.9256,9.6572,Hotel La Bitta
480,Udachnyy,RU,88.45,66.4167,112.4,Severnoye Siyaniye
481,Marawi,PH,79.03,7.9986,124.2928,Derogongan Residence
482,Marsh Harbour,BS,81.95,26.5412,-77.0636,Abaco Beach Resort
484,Klyuchi,RU,81.25,52.2667,79.1667,Vesolaya Mayovka
486,Parnera,IN,81.09,20.55,72.95,Hotel Vishram &Guest House
488,Villa Rica,US,81.79,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
489,Cangzhou,CN,76.66,38.3167,116.8667,Jinji Express Hotel
494,Neijiang,CN,85.35,29.5835,105.0622,Han'an Hotel
497,Salalah,OM,75.06,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
498,Chardara,KZ,87.21,41.2547,67.9692,Жанаргул
503,Nyurba,RU,88.05,63.2842,118.3319,"Гостиница ""Comfort"""
509,Sabha,LY,79.03,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
510,Komsomolskiy,UZ,88.52,40.4272,71.7189,Ikathouse
511,Westport,US,76.08,41.1415,-73.3579,The Westport Inn
515,Cotonou,BJ,76.55,6.3654,2.4183,Novotel Cotonou Orisha
516,Zhigansk,RU,79.02,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
522,Awbari,LY,77.18,26.5921,12.7805,فندق أوباري
524,Loa Janan,ID,78.15,-0.583,117.095,Kost bu jono
527,Aloleng,PH,85.19,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
528,Bozhou,CN,79.11,33.8772,115.7703,Haitian Hotel
529,Alofi,NU,76.89,-19.0595,-169.9187,Taloa Heights
532,Bathsheba,BB,81.05,13.2167,-59.5167,Atlantis Hotel
538,Merced,US,88.29,37.1666,-120.7516,
539,Bucerias,MX,79.99,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
541,Dawei,MM,87.03,14.0833,98.2,Hotel Dawei
542,Pathein,MM,89.37,16.7833,94.7333,Pathein Hotel
551,Umm Kaddadah,SD,77.45,13.6017,26.6876,
